Funktion;GDB;Bezeichner_1;Bezeichner_2;Bezeichner_3;energetisch Relevant;WVBRpEBF;Strom;Bez;Typ;Lastprofil;Vlh;Raumheizung zu Prozesswärme;Quelle;Heizgrenztemp
3222;x;;;Gebäude im Freibad;1;135;30;Gebäude im Freibad;Sonstige / Freizeit;GKO;1800;;3;
3230;;;Gebäude im Stadion;;0;0;0;Gebäude im Stadion;Sonstige / Freizeit;;0;;;
3240;x;;Gebäude für Kurbetrieb;;1;1128;450;Gebäude für Kurbetrieb;Sonstige / Freizeit;GMK;1800;0%;2;
3241;;;;Badegebäude für medizinische Zwecke;1;1128;450;Badegebäude für medizinische Zwecke;Sonstige / Freizeit;GMK;1800;0%;2;
3242;;;;Sanatorium;1;198;110;Sanatorium;Öffentliche Gebäude / Verwaltung;GKO;1800;75%;2;
3260;x;;Gebäude im Zoo;;0;0;0;Gebäude im Zoo;Sonstige / Freizeit;;0;;;
3261;;;;Empfangsgebäude des Zoos;0;0;0;Empfangsgebäude des Zoos;Sonstige / Freizeit;;0;;;
3262;;;;Aquarium, Terrarium, Voliere;0;0;0;Aquarium, Terrarium, Voliere;Sonstige / Freizeit;;0;;;
3263;;;;Tierschauhaus;0;0;0;Tierschauhaus;Sonstige / Freizeit;;;;;
3264;;;;Stall im Zoo;0;0;0;Stall im Zoo;Sonstige / Freizeit;;;;;
3270;x;;Gebäude im botanischen Garten;;0;0;0;Gebäude im botanischen Garten;Sonstige / Freizeit;;0;;;
3271;;;;Empfangsgebäude des botanischen Gartens;0;0;0;Empfangsgebäude des botanischen Gartens;Sonstige / Freizeit;;0;;;
3272;;;;Gewächshaus (Botanik);1;110;20;Gewächshaus (Botanik);Sonstige / Freizeit;GMK;1800;;3;
3273;;;;Pflanzenschauhaus;1;437;0;Pflanzenschauhaus;Sonstige / Freizeit;GKO;1800;95%;2;
3280;;;Gebäude für andere Erholungseinrichtung;;0;0;0;Gebäude für andere Erholungseinrichtung;Sonstige / Freizeit;;0;;;
3281;x;;;Schutzhütte;0;0;0;Schutzhütte;Sonstige / Freizeit;;0;;;
3290;;;Touristisches Informationszentrum;;1;147;52;Touristisches Informationszentrum;Sonstige / Freizeit;GKO;1800;95%;2;
9998;;;Nach Quellenlage nicht zu spezifizieren;;0;0;0;Nach Quellenlage nicht zu spezifizieren;Sonstige / Freizeit;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
